"widget","phase","tint_r","tint_g","tint_b","tint_a","request_id","tool_id","dry_run","http_status","mcp_status","applied_count","skipped_count","warning_count","error_count","prep_ms","json_ms","http_ms","parse_ms","total_ms","error"
"/Game/UI/Widget/WBP_MCPDummyPopup1","dry_run","0.411","0.728","0.884","0.166","dry-1","widget.apply_ops","True","200","Success","1","0","0","0","0.006","0.325","385.102","0.185","385.618",""
"/Game/UI/Widget/WBP_MCPDummyPopup1","apply","0.411","0.728","0.884","0.166","apply-1","widget.apply_ops","False","200","Success","1","0","0","0","0.01","0.144","9.335","0.184","9.673",""
"/Game/UI/Widget/WBP_MCPDummyPopup2","dry_run","0.569","0.866","0.348","0.345","dry-2","widget.apply_ops","True","200","Success","1","0","0","0","0.005","0.094","8.865","0.142","9.105",""
"/Game/UI/Widget/WBP_MCPDummyPopup2","apply","0.569","0.866","0.348","0.345","apply-2","widget.apply_ops","False","200","Success","1","0","0","0","0.005","0.098","6.168","0.137","6.407",""
"/Game/UI/Widget/WBP_MCPDummyPopup3","dry_run","0.362","0.386","0.665","0.331","dry-3","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.069","9.654","0.078","9.805",""
"/Game/UI/Widget/WBP_MCPDummyPopup3","apply","0.362","0.386","0.665","0.331","apply-3","widget.apply_ops","False","200","Success","1","0","0","0","0.003","0.07","6.358","0.073","6.505",""
"/Game/UI/Widget/WBP_MCPDummyPopup4","dry_run","0.399","0.847","0.961","0.287","dry-4","widget.apply_ops","True","200","Success","1","0","0","0","0.003","0.065","10.456","0.076","10.6",""
"/Game/UI/Widget/WBP_MCPDummyPopup4","apply","0.399","0.847","0.961","0.287","apply-4","widget.apply_ops","False","200","Success","1","0","0","0","0.003","0.074","6.351","0.072","6.501",""
"/Game/UI/Widget/WBP_MCPDummyPopup5","dry_run","0.24","0.848","0.317","0.251","dry-5","widget.apply_ops","True","200","Success","1","0","0","0","0.003","0.068","11.578","0.11","11.759",""
"/Game/UI/Widget/WBP_MCPDummyPopup5","apply","0.24","0.848","0.317","0.251","apply-5","widget.apply_ops","False","200","Success","1","0","0","0","0.004","0.076","7.997","0.089","8.166",""
